record_no,standardized_names,name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,municipality,locality,datasetName,collectionCode,language,gbifID,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,identifiedBy,occurrenceRemarks,individualCount,continent,nomenclaturalStatus,nomenclaturalCode,county,taxonID,bibliographicCitation,collectionID,institutionID,rights,coordinateUncertaintyInMeters,references,habitat,preparations,verbatimEventDate,georeferenceProtocol,endDayOfYear,startDayOfYear,georeferenceSources,georeferencedBy,dynamicProperties,http://unknown.org/recordId,georeferenceVerificationStatus,otherCatalogNumbers,http://unknown.org/recordEnteredBy,higherClassification,higherGeography,organismID,locationID,datasetID,accessRights,fieldNumber,eventRemarks,taxonRemarks,typeStatus,typifiedName,establishmentMeans,georeferenceRemarks,previousIdentifications,fieldNotes,verbatimElevation,georeferencedDate,verbatimCoordinateSystem,created,associatedSequences,verbatimLocality,organismRemarks,organismQuantity,organismQuantityType,eventID,http://rs.tdwg.org/dwc/terms/organismQuantity,higherGeographyID,http://rs.tdwg.org/dwc/terms/organismQuantityType,parentEventID,identificationRemarks,associatedTaxa,reproductiveCondition,http://unknown.org/nick,http://unknown.org/occurrenceDetails,eventTime,identificationID,informationWithheld
1,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-58.0425,-19.078333,gass84,gbif,1901020132,Acosmium cardenasii H.S.Irwin & Arroyo,2e684fd6-09e2-4661-910a-0a188b610c04,60545be9-4f28-4245-b4b4-07635c8dfa54,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:11:22.983+0000,2020-07-12T12:14:51.252+0000,211,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2013-01-01T00:00:00,129,0,Santa Cruz,2013,2,21,15757,2020-05-08T14:11:36.000+0000,2020-07-12T12:14:51.252+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BO,list(),list(),"Bolivia, Plurinational State of",HUEFS - Herbario da Universidade Estadual de Feira de Santana,BRA:UEFS:HUEFS:243598,12665,German Busch,Becera Bosques chiquitanos de transiciуn al Chaco sobre suelos medianamente a mal drenados. Puerto Suбrez. Al Oeste-Sur-Oeste em lнnea recta de la Tacuaral aprox. 1.79 Km.,HUEFS - Herbario da Universidade Estadual de Feira de Santana,HUEFS,pt,1901020132,BRA:UEFS:HUEFS:243598,Collection,243598,"Zenteno-R., F.",UEFS,Universidade Estadual de Feira de Santana,F.Zenteno-R.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-58.046667,-19.081389,gass84,gbif,1901020151,Acosmium cardenasii H.S.Irwin & Arroyo,2e684fd6-09e2-4661-910a-0a188b610c04,60545be9-4f28-4245-b4b4-07635c8dfa54,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:11:22.983+0000,2020-07-12T12:14:51.371+0000,211,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2013-01-01T00:00:00,138,0,Santa Cruz,2013,2,19,15755,2020-05-08T14:11:36.000+0000,2020-07-12T12:14:51.371+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BO,list(),list(),"Bolivia, Plurinational State of",HUEFS - Herbario da Universidade Estadual de Feira de Santana,BRA:UEFS:HUEFS:243599,12623,German Busch,Becera Bosques chiquitanos de transiciуn al Chaco sobre suelos medianamente a mal drenados. Puerto Suбrez. Al Oeste-Sur-Oeste em lнnea recta de la Tacuaral aprox. 2.28 Km.,HUEFS - Herbario da Universidade Estadual de Feira de Santana,HUEFS,pt,1901020151,BRA:UEFS:HUEFS:243599,Collection,243599,"Zenteno-R., F.",UEFS,Universidade Estadual de Feira de Santana,F.Zenteno-R.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.7875,-19.108611,gass84,gbif,1077323537,Acosmium cardenasii H.S.Irwin & Arroyo,f9e1895f-4f52-45e7-aa4f-4dea366b7d2d,aa3e4a95-dc4c-45fa-9c0a-cecad3a1511f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:09:13.319+0000,2020-07-12T12:09:38.694+0000,226,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2010-01-01T00:00:00,153,0,Ms,2009,10,27,14544,2019-07-02T17:59:49.000+0000,2020-07-12T12:09:38.694+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,CPAP - Herbбrio CPAP,BRA:CPAP:CPAP:21459,25,Corumbб,Assentamento Tamarineiro II Sul- Sr. Albino Lote 92,CPAP - Herbбrio CPAP,CPAP,pt,1077323537,BRA:CPAP:CPAP:21459,Collection,21459,"Almeida, A. M.; Azevedo, D. T.; Castro, W. J. P.; Reis, V. D. A.",Empresa Brasileira de Pesquisa Agropecuбria,Empresa Brasileira de Pesquisa Agropecuбria,D. T. Azevedo; A. M. Almeida,"Бrvore 15m~ flores de cor amarela, planta apнcola pouco frequente. Mata decнdua, solo argiloso, relevo plano.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-62.278389,-17.262694,"cdround,gass84",gbif,1257880802,Acosmium cardenasii H.S.Irwin & Arroyo,7bd65a7a-f762-11e1-a439-00145eb45e9a,90fd6680-349f-11d8-aa2d-b8a03c50a862,c4e134d3-c68f-406d-a116-6a37895602e0,US,DWC_ARCHIVE,2020-07-16T06:06:47.327+0000,2020-07-16T06:41:46.003+0000,124,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2008-01-01T00:00:00,262,NA,Santa Cruz,2008,3,11,13949,2012-10-22T15:44:00.000+0000,2020-07-16T06:41:46.003+0000,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,Magnoliopsida,BO,list(),list(),"Bolivia, Plurinational State of",Missouri Botanical Garden,urn:catalog:MO:Tropicos:100535136,Lazarte 80,NA,"Municipio de Cuatro Caсadas: ubicado a 100 km de la ciudad de Santa Cruz.  La Empresa Desarrollos Agricolas S.A.-DESA, Propiedad San Rafael se encuentra distante a unos 35 km al sur de la carretera hacia el Dpto. de Benн.  Campameento San Rafael, cortina 70.",Tropicos,MO,NA,1257880802,urn:catalog:MO:Tropicos:100535136,PhysicalObject,100535136,M. Lazarte|Carla Maldonado|et al.,MO,MOBOT,G.A. Parada (USZ),NA,1,SOUTH_AMERICA,Legitimate,ICNafp,Nuflo de Chavez,13001989,http://www.tropicos.org/Specimen/100535136,http://biocol.org/urn:lsid:biocol.org:col:15859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.7875,-19.108611,gass84,gbif,1077323257,Acosmium cardenasii H.S.Irwin & Arroyo,f9e1895f-4f52-45e7-aa4f-4dea366b7d2d,aa3e4a95-dc4c-45fa-9c0a-cecad3a1511f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:09:13.319+0000,2020-07-12T12:09:39.094+0000,226,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2010-01-01T00:00:00,153,0,Ms,2008,11,12,14195,2019-07-02T17:59:49.000+0000,2020-07-12T12:09:39.094+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,CPAP - Herbбrio CPAP,BRA:CPAP:CPAP:21197,353,Corumbб,Assentamento Tamarineiro II Sul- Sr. Albino Lote 92,CPAP - Herbбrio CPAP,CPAP,pt,1077323257,BRA:CPAP:CPAP:21197,Collection,21197,"Jesus, E. M. ; Almeida, A. M; Oliveira, E. G.; Reis, V. D. A.; Conceiзгo, V.",Empresa Brasileira de Pesquisa Agropecuбria,Empresa Brasileira de Pesquisa Agropecuбria,S. M. Salis,"Бrvore 10-13m~ flores de cor amarela, planta apнcola rara. Pasto degradado, solo argiloso, relevo plano.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.485333,-19.086889,gass84,gbif,1089083198,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:45.190+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2004-02-01T00:00:00,274,0,Mato Grosso do Sul,2004,2,27,12475,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:45.190+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:140823,752,Ladбrio,"Serra do Rabichгo, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1089083198,BRA:UNICAMP:UEC:140823,Collection,140823,"Silva, RR; Silva, MV",UNICAMP,Universidade Estadual de Campinas,"Silva, RR",Бrvore de 6 m de altura. Frutos imaturos verdes. Solo ferruginoso.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.510056,-19.124806,gass84,gbif,1089083187,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:45.185+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2004-02-01T00:00:00,115,0,Mato Grosso do Sul,2004,3,16,12493,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:45.185+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:140822,766,Ladбrio,"Serra do Rabichгo, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Lajedo.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1089083187,BRA:UNICAMP:UEC:140822,Collection,140822,"Silva, RR; Silva, MV",UNICAMP,Universidade Estadual de Campinas,"Silva, RR","Бrvore 3,5 m de altura. Frutos imaturos verdes. Solo ferruginoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.510056,-19.124806,gass84,gbif,1089083195,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:45.173+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2004-02-01T00:00:00,367,0,Mato Grosso do Sul,2004,3,16,12493,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:45.173+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:140821,766A,Ladбrio,"Serra do Rabichгo, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1089083195,BRA:UNICAMP:UEC:140821,Collection,140821,"Silva, RR; Silva, MV",UNICAMP,Universidade Estadual de Campinas,"Silva, RR","Бrvore 3,5 m de altura. Frutos imaturos verdes. Solo ferruginoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.487,-19.091333,gass84,gbif,1089083325,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:45.169+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2004-05-01T00:00:00,277,0,Mato Grosso do Sul,2004,5,18,12556,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:45.169+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:140974,954,Ladбrio,"Serra do Rabichгo, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1089083325,BRA:UNICAMP:UEC:140974,Collection,140974,"Silva, RR; Silva, MV",UNICAMP,Universidade Estadual de Campinas,"Silva, RR",Бrvore de 7 m de altura. Frutos imaturos verdes. Solo ferruginoso.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.671333,-19.220917,gass84,gbif,1089084176,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:44.308+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2004-09-01T00:00:00,246,0,Mato Grosso do Sul,2004,7,29,12628,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:44.308+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:141954,1038,Corumbб,"Serra Tromba dos Macacos, Planalto Residual do Urucum. Acesso pela Fazenda Vovф Osvaldo. Borda de Floresta Estacional Decidual.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1089084176,BRA:UNICAMP:UEC:141954,Collection,141954,"Silva, RR; Velбsquez, JS",UNICAMP,Universidade Estadual de Campinas,"Silva, RR","Бrvore de 13m de altura. Frutos imaturos verdes, maduros castanhos. Solo ferruginoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.846833,-19.240361,gass84,gbif,1089084797,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:45.194+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,NA,NA,NA,Mato Grosso do Sul,2004,7,30,12629,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:45.194+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:142659,1051,Corumbб,"Serra do Jacadigo, Planalto Residual do Urucum.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1089084797,BRA:UNICAMP:UEC:142659,Collection,142659,"Silva, RR; Velбsquez, JS",UNICAMP,Universidade Estadual de Campinas,NA,"Бrvore de 6m de altura. Frutos imaturos verdes, maduros marrons. Solo ferruginoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.503611,-19.124722,gass84,gbif,1668718345,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:45.074+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2004-07-01T00:00:00,NA,NA,Mato Grosso do Sul,2004,7,21,12620,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:45.074+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:140963,978,Ladбrio,"Serra do Rabichгo, Planalto Residual do Urucum.&nf;Acesso Fazenda Uruba. &nf;Interior de Floresta Estacional Decidual.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1668718345,BRA:UNICAMP:UEC:140963,Collection,140963,"Silva, RR; Silva, MV",UNICAMP,Universidade Estadual de Campinas,"Silva, RR","Бrvore de 10,0 m de altura. Frutos maduros marrons. Solo ferruginoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Acosmium cardenasii,Acosmium cardenasii H.S.Irwin & Arroyo,-57.495611,-19.100444,gass84,gbif,1089083291,Acosmium cardenasii H.S.Irwin & Arroyo,7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2020-07-12T12:20:05.878+0000,2020-07-12T12:22:44.301+0000,205,PRESERVED_SPECIMEN,2970530,6,7707728,220,1370,5386,2970503,2970530,2970530,Acosmium cardenasii H.S.Irwin & Arroyo,Plantae,Tracheophyta,Fabales,Fabaceae,Acosmium,Acosmium cardenasii,Acosmium,cardenasii,SPECIES,ACCEPTED,2004-08-01T00:00:00,375,0,Mato Grosso do Sul,2004,8,26,12656,2019-08-20T13:11:50.000+0000,2020-07-12T12:22:44.301+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Magnoliopsida,BR,list(),list(),Brazil,UEC - Herbбrio da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:140935,1097,Ladбrio,"Serra do Rabichгo, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual.",UEC - Herbбrio da Universidade Estadual de Campinas,UEC,pt,1089083291,BRA:UNICAMP:UEC:140935,Collection,140935,"Silva, RR; Silva, MV",UNICAMP,Universidade Estadual de Campinas,"Silva, RR",Бrvore de 11m de altura. Frutos maduros marrom. Solo ferruginoso.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
